date,category,contracts
2026-07-02,Baseball,3416696
2026-07-02,Economics,500
2026-07-02,Football,1014
2026-07-02,Other,220945
2026-07-02,Soccer,103219011
2026-07-03,Baseball,4749644
2026-07-03,Economics,1000
2026-07-03,Football,115157
2026-07-03,Other,410168
2026-07-03,Soccer,108048124
2026-07-04,Baseball,2883286
2026-07-04,Economics,0
2026-07-04,Football,190200
2026-07-04,Other,547205
2026-07-04,Soccer,138421507
2026-07-05,Baseball,3067712
2026-07-05,Economics,0
2026-07-05,Football,44661
2026-07-05,Other,12064467
2026-07-05,Soccer,64957818
2026-07-06,Baseball,3884730
2026-07-06,Economics,0
2026-07-06,Football,75820
2026-07-06,Other,13147046
2026-07-06,Soccer,137604754
2026-07-07,Baseball,10935672
2026-07-07,Economics,0
2026-07-07,Football,167878
2026-07-07,Other,12329843
2026-07-07,Soccer,156679754
2026-07-08,Baseball,7350600
2026-07-08,Economics,315
2026-07-08,Football,98755
2026-07-08,Other,8044871
2026-07-08,Soccer,31324250
2026-07-09,Baseball,12309544
2026-07-09,Economics,292
2026-07-09,Football,64299
2026-07-09,Other,5942662
2026-07-09,Soccer,29414384
2026-07-10,Baseball,4336019
2026-07-10,Economics,4604
2026-07-10,Football,129038
2026-07-10,Other,5528908
2026-07-10,Soccer,64505567
2026-07-11,Baseball,6339354
2026-07-11,Economics,432
2026-07-11,Football,112357
2026-07-11,Other,4101510
2026-07-11,Soccer,25530498
2026-07-12,Baseball,10761886
2026-07-12,Economics,911
2026-07-12,Football,111649
2026-07-12,Other,7390395
2026-07-12,Soccer,109058998
2026-07-13,Baseball,3307486
2026-07-13,Economics,0
2026-07-13,Football,96987
2026-07-13,Other,89258
2026-07-13,Soccer,7069775
2026-07-14,Baseball,244830
2026-07-14,Economics,5050
2026-07-14,Football,88867
2026-07-14,Other,48140
2026-07-14,Soccer,72284294
2026-07-15,Baseball,2986584
2026-07-15,Economics,13588
2026-07-15,Football,103056
2026-07-15,Other,86077
2026-07-15,Soccer,73954338
2026-07-16,Baseball,655722
2026-07-16,Economics,12447
2026-07-16,Football,140816
2026-07-16,Other,75757
2026-07-16,Soccer,10757098
2026-07-17,Baseball,3555210
2026-07-17,Economics,28952
2026-07-17,Football,138774
2026-07-17,Other,65725
2026-07-17,Soccer,5366032
2026-07-18,Baseball,5229398
2026-07-18,Economics,44422
2026-07-18,Football,103103
2026-07-18,Other,65574
2026-07-18,Soccer,14634630
2026-07-19,Baseball,6632477
2026-07-19,Economics,3687
2026-07-19,Football,88026
2026-07-19,Other,39737
2026-07-19,Soccer,115592479
2026-07-20,Baseball,7241996
2026-07-20,Economics,62422
2026-07-20,Football,265528
2026-07-20,Other,168145
2026-07-20,Soccer,42659645
2026-07-21,Baseball,4773961
2026-07-21,Economics,55715
2026-07-21,Football,239659
2026-07-21,Other,129842
2026-07-21,Soccer,0
2026-07-22,Baseball,9081975
2026-07-22,Economics,43459
2026-07-22,Football,204512
2026-07-22,Other,269826
2026-07-22,Soccer,0
2026-07-23,Baseball,8736328
2026-07-23,Economics,35035
2026-07-23,Football,175821
2026-07-23,Other,356055
2026-07-23,Soccer,0
2026-07-24,Baseball,7555426
2026-07-24,Economics,67701
2026-07-24,Football,110489
2026-07-24,Other,201892
2026-07-24,Soccer,0
2026-07-25,Baseball,5756233
2026-07-25,Economics,30309
2026-07-25,Football,154885
2026-07-25,Other,136124
2026-07-25,Soccer,0
