market_key,taker_pnl_gross,taker_pnl_net,taker_fees,maker_pnl_net,maker_fees,notional_settled,contracts_settled,n_days
KXWCGAME-26JUN12USAPAR,11450284.53,10772782.37,677502.16,-11450284.53,0.0,23052445.47,60259229,59
KXWCGAME-26JUN21BELIRI,-4644455.36,-5315787.86,671332.5,4644455.36,0.0,27300099.36,58835831,43
KXFEDDECISION-26JUL,-38927.16,-435631.56,396704.4,-60459.67,99386.83,21634127.16,58775898,106
KXNBAGAME-26APR24LALHOU,8322359.16,7619631.72,702727.44,-8498793.34,176434.18,24697866.84,57994854,10
KXWCGAME-26JUN11KORCZE,5025428.3,4295385.86,730042.44,-5025428.3,0.0,23820080.7,57965543,22
KXWCGAME-26JUN14NEDJPN,-7887378.46,-8578791.83,691413.37,7887378.46,0.0,25076174.46,57231712,61
KXNBAGAME-26MAY20SASOKC,-4567645.72,-5235270.25,667624.53,4399915.71,167730.01,24668184.72,56830951,5
KXWCGAME-26JUN19USAAUS,6790996.4,6200476.38,590520.02,-6790996.4,0.0,25218466.6,56297242,53
KXNBAGAME-26MAY22OKCSAS,-1750526.71,-2479853.53,729326.82,1567411.29,183115.42,27247028.71,55957508,7
KXNBAGAME-26MAY07LALOKC,-1657644.97,-2053827.82,396182.85,1558075.42,99569.55,22359743.97,55246503,7
KXNBAGAME-26MAY26SASOKC,-3764940.44,-4414799.96,649859.52,3601773.93,163166.51,26483405.44,54881696,7
KXWCSCORE-26JUL18FRAENG,-2359030.31,-2591708.2,232677.89,2359030.31,0.0,10464573.31,54805821,4
KXNBAGAME-26MAY24OKCSAS,-3244885.36,-3794822.32,549936.96,3106815.81,138069.55,22368206.36,52588697,9
KXWCGAME-26JUN23PANCRO,1307882.73,769972.06,537910.67,-1307882.73,0.0,24302600.27,52132403,39
KXWCADVANCE-26JUL01ENGCOD,-2579211.08,-3107952.95,528741.87,2579211.08,0.0,23769285.08,51978295,5
KXUFCFIGHT-26MAY09CHISTR,13078411.93,12505749.74,572662.19,-13078411.93,0.0,18948147.07,51740996,8
KXWCADVANCE-26JUL03AUSEGY,2949150.18,2236180.09,712970.09,-2949150.18,0.0,26423318.82,50886579,7
KXWCGAME-26JUN14AUSTUR,-1902784.51,-2522007.57,619223.06,1902784.51,0.0,22772648.51,50637449,24
KXWCGAME-26JUN15ESPCPV,48090.85,-293244.63,341335.48,-48090.85,0.0,19943054.15,50620916,62
KXWCADVANCE-26JUL04CANMAR,228374.37,-354013.22,582387.59,-228374.37,0.0,24110161.63,49232201,5
KXWCGAME-26JUN15IRINZL,-2120132.58,-2756533.23,636400.65,2120132.58,0.0,20768290.58,48527510,53
KXWCGAME-26JUN15KSAURU,-152648.48,-702847.28,550198.8,152648.48,0.0,19789505.48,48165993,56
KXWCGAME-26JUN27DZAAUT,-3142778.22,-3621658.45,478880.23,3142778.22,0.0,18502233.22,47837025,43
KXWCGAME-26JUN24SUICAN,1938837.8,1398877.28,539960.52,-1938837.8,0.0,20563907.2,47600653,44
KXWCGAME-26JUN19SCOMAR,4333693.57,3862819.42,470874.15,-4333693.57,0.0,20428852.43,47014299,45
KXNBAGAME-26APR26LALHOU,-7306719.64,-7873241.22,566521.58,7164548.5,142171.14,19190402.64,46366023,13
KXNBAGAME-26MAY23NYKCLE,2194286.0,1620375.77,573910.23,-2338282.19,143996.19,20562917.0,45309328,7
KXWCGAME-26JUN16FRASEN,1422744.03,969121.62,453622.41,-1422744.03,0.0,18998749.97,45112838,62
KXWCGAME-26JUN15BELEGY,-4616836.0,-5184943.27,568107.27,4616836.0,0.0,21450412.0,45049847,52
KXNBAGAME-26APR25DENMIN,1195118.47,603614.54,591503.93,-1343464.89,148346.42,21073897.53,44728285,11
KXNBAGAME-26MAY13CLEDET,-21589.13,-572079.36,550490.23,-116609.94,138199.07,21071950.13,43031354,5
KXNBAGAME-26APR26SASPOR,3106076.18,2599674.98,506401.2,-3233061.27,126985.09,19002442.82,42482203,11
KXWCGOALLEADER-26,-1451676.02,-1700958.84,249282.82,1451676.02,0.0,10459804.02,42139219,96
KXNBAGAME-26MAY04MINSAS,5523353.45,5043118.57,480234.88,-5643961.4,120607.95,17414365.55,41390015,5
KXWCGAME-26JUN21TUNJPN,-172943.19,-647399.91,474456.72,172943.19,0.0,14665953.19,41186467,45
KXWCGAME-26JUL18FRAENG,-544138.69,-920657.67,376518.98,544138.69,0.0,17874287.69,41139037,4
KXWCADVANCE-26JUN29BRAJPN,1975748.03,1466314.1,509433.93,-1975748.03,0.0,20446202.97,40644211,4
KXWCGAME-26JUN13QATSUI,-3129222.32,-3322997.27,193774.95,3129222.32,0.0,14647232.32,40354749,59
KXNBAGAME-26MAY28OKCSAS,-1723285.73,-2206212.39,482926.66,1601949.91,121335.82,17618392.73,40344776,5
KXWCGAME-26JUN27JORARG,336873.42,184258.22,152615.2,-336873.42,0.0,13943277.58,40214769,60
KXWCGAME-26JUN17AUTJOR,-674976.24,-1013138.54,338162.3,674976.24,0.0,15097814.24,40096212,55
KXWCGAME-26JUN14GERCUW,-724507.27,-819040.01,94532.74,724507.27,0.0,9554262.27,40014201,60
KXATPMATCH-26JUN01TIAARN,-697073.17,-1210359.15,513285.98,568322.33,128750.84,20216911.17,39804401,3
KXNBASERIES-26TORCLER1,-1717663.78,-2136330.33,418666.55,1612562.78,105101.0,16871111.78,39364132,19
KXNBAGAME-26APR29HOULAL,-2743248.81,-3207485.74,464236.93,2626730.69,116518.12,18919235.81,38588592,4
KXNHL-26,-572875.31,-884295.43,311420.12,494591.07,78284.24,12534069.31,38520622,61
KXIPL-26,-561578.56,-874313.17,312734.61,561578.56,0.0,16042389.56,38490812,47
KXNBAGAME-26MAY25NYKCLE,1883419.22,1483812.53,399606.69,-1983783.51,100364.29,17038533.78,38077973,9
KXNBAGAME-26MAY05LALOKC,-1759736.95,-2026757.08,267020.13,1692542.46,67194.49,14277701.95,38036978,4
KXWCGAME-26JUN23PORUZB,885263.56,745802.43,139461.13,-885263.56,0.0,16337571.44,37780605,53
KXPGATOUR-GESO26,228714.95,173908.93,54806.02,-242690.51,13975.56,2700479.05,37605913,5
KXWCGAME-26JUN27CROGHA,-162066.58,-540681.31,378614.73,162066.58,0.0,16335994.58,37183149,50
KXWCGAME-26JUN16ARGDZA,3376218.15,2989032.19,387185.96,-3376218.15,0.0,17952073.85,37153836,59
KXNBAGAME-26MAY09OKCLAL,-1735069.91,-2072574.14,337504.23,1650300.51,84769.4,15940208.91,36611478,8
KXNBAGAME-26MAY21CLENYK,-1667166.89,-2058342.93,391176.04,1568900.31,98266.58,16016991.89,36305849,5
KXWCSCORE-26JUL05MEXENG,-172002.94,-377173.93,205170.99,172002.94,0.0,9037471.94,36237660,3
KXNBAGAME-26MAY12MINSAS,-1552023.42,-1828855.89,276832.47,1482441.82,69581.6,15076430.42,35822372,6
KXNBAGAME-26MAY08SASMIN,-2132934.3,-2573985.72,441051.42,2022227.61,110706.69,16208744.3,35736107,9
KXNBAGAME-26APR23NYKATL,-2632288.96,-3148820.57,516531.61,2502726.83,129562.13,16987705.96,35708866,9
KXNBAGAME-26APR15GSWLAC,3401708.53,2961453.67,440254.86,-3512210.04,110501.51,15807029.47,35647325,2
KXNBAGAME-26APR21HOULAL,1831735.77,1325778.93,505956.84,-1958702.71,126966.94,16512887.23,35425512,8
KXWCGAME-26JUN20NEDSWE,2316390.33,2014649.9,301740.43,-2316390.33,0.0,13850340.67,35340629,28
KXWCADVANCE-26JUL03COLGHA,-352835.98,-638472.47,285636.49,352835.98,0.0,17642184.98,35166756,7
KXNBAGAME-26APR20MINDEN,1505068.44,1058316.37,446752.07,-1617211.72,112143.28,16344237.56,35122248,7
KXNBAGAME-26APR24SASPOR,1336993.08,879749.3,457243.78,-1451697.24,114704.16,15843923.92,35088768,11
KXMVESPORTSMULTIGAMEEXTENDED-S2026F84712B4878,-500388.04,-571923.64,71535.6,500388.04,0.0,3415520.04,34715375,9
KXNBAGAME-26MAY01DETORL,1630011.12,1231737.47,398273.65,-1729944.61,99933.49,15969986.88,34677364,3
KXMVESPORTSMULTIGAMEEXTENDED-S2026C6D9D36AB23,-670669.02,-749852.59,79183.57,670669.02,0.0,1892860.02,34630435,16
KXNBAGAME-26APR30DENMIN,218831.94,-264474.92,483306.86,-340106.69,121274.75,17214217.06,34562474,4
KXWCGAME-26JUL03ARGCPV,-576991.27,-826567.95,249576.68,576991.27,0.0,14040494.27,34431248,8
KXWCGAME-26JUL19ESPARG,-1167990.58,-1570728.84,402738.26,1167990.58,0.0,12935307.58,34283969,5
KXWCSCORE-26JUL06USABEL,-1276295.53,-1454482.38,178186.85,1276295.53,0.0,7667820.53,34206668,3
KXNBAGAME-26APR27DETORL,-524387.93,-1009256.28,484868.35,402780.72,121607.21,15820512.93,34080819,7
KXWCGAME-26JUL07ARGEGY,-1388794.01,-1734338.7,345544.69,1388794.01,0.0,15752877.01,33993924,5
KXNBAGAME-26APR21PORSAS,2392236.47,2016141.77,376094.7,-2486661.7,94425.23,15668874.53,33704091,7
KXNBAGAME-26APR17GSWPHX,-2518485.0,-2919630.0,401145.0,2417787.39,100697.61,14421016.0,33015157,3
KXNBAGAME-26MAY01LALHOU,3528318.81,3151796.98,376521.83,-3622836.52,94517.71,14033535.19,32779748,3
KXNBAGAME-26MAY11DETCLE,-1868501.93,-2195326.45,326824.52,1786469.41,82032.52,14767227.93,32771267,8
KXWCSCORE-26JUL15ENGARG,2481819.52,2364817.62,117001.9,-2481819.52,0.0,3266581.48,32356423,4
KXWCGAME-26JUN27PANENG,-510103.36,-692990.14,182886.78,510103.36,0.0,11992915.36,32315822,60
KXWCGAME-26JUN13HTISCO,2360900.95,2003021.37,357879.58,-2360900.95,0.0,15208976.05,32245443,54
KXWCGAME-26JUN14CIVECU,-1905758.51,-2290886.35,385127.84,1905758.51,0.0,13257578.51,32201173,59
KXNBAGAME-26MAY09DETCLE,-705797.67,-1113214.67,407417.0,603593.11,102204.56,15986476.67,31939220,6
KXWCSCORE-26JUL11ARGSUI,-817164.83,-992874.04,175709.21,817164.83,0.0,6765864.83,31808016,3
KXFEDDECISION-26JUN,-273235.24,-313997.62,40762.38,262917.87,10317.37,7809565.24,31530499,64
KXWCGAME-26JUN18CZERSA,1312246.32,953991.97,358254.35,-1312246.32,0.0,13692845.68,31167673,27
KXNBAGAME-26APR19ORLDET,-1321251.87,-1724781.19,403529.32,1220010.17,101241.7,15824555.87,31151923,2
KXWCGAME-26JUL02PORCRO,-461308.55,-800307.49,338998.94,461308.55,0.0,14182110.55,31038228,6
KXNBAGAME-26MAY15SASMIN,-1335616.13,-1576430.03,240813.9,1275065.67,60550.46,11736360.13,30816996,6
KXNBASERIES-26ORLDETR1,-1999104.37,-2293131.57,294027.2,1925259.91,73844.46,12923961.37,30749874,17
KXUFCFIGHT-26JUN14PERGAN,-7522776.44,-7984749.31,461972.87,7522776.44,0.0,13750944.44,30709932,29
KXNBAGAME-26APR23DENMIN,-1236138.45,-1485394.04,249255.59,1173543.47,62594.98,12709309.45,30668698,10
KXWCGAME-26JUN25TURUSA,-2344970.52,-2644661.96,299691.44,2344970.52,0.0,12260636.52,30630684,35
KXWCADVANCE-26JUN30CIVNOR,966351.07,557697.95,408653.12,-966351.07,0.0,15936651.93,30614027,5
KXNBAGAME-26JUN08SASNYK,3114895.1,2584786.34,530108.76,-3248107.67,133212.57,15169441.9,30424044,10
KXNBAGAME-26MAY08NYKPHI,579488.03,167941.77,411546.26,-682725.11,103237.08,15043381.97,30025780,7
KXWCADVANCE-26JUL02SUIDZA,978968.42,664892.82,314075.6,-978968.42,0.0,16070411.58,29857038,6
KXMVESPORTSMULTIGAMEEXTENDED-S20264A7581BA54D,-1087412.14,-1160901.14,73489.0,1087412.14,0.0,1286093.14,29563092,5
KXNBAGAME-26APR22PHXOKC,-1127647.9,-1266947.73,139299.83,1092555.84,35092.06,8825320.9,29543630,6
KXNBAGAME-26MAY06PHINYK,-1127649.66,-1481262.32,353612.66,1038859.44,88790.22,14255569.66,29536884,5
KXWCGAME-26JUN24SCOBRA,2139176.05,1920536.2,218639.85,-2139176.05,0.0,15128369.95,29329875,51
KXMVESPORTSMULTIGAMEEXTENDED-S20262B0F60940F9,-279745.94,-300097.83,20351.89,279745.94,0.0,389913.94,29248911,9
KXNBAGAME-26APR18HOULAL,757591.72,390019.44,367572.28,-849834.94,92243.22,14130498.28,29103062,4
KXNBAGAME-26MAY15DETCLE,771023.89,415747.34,355276.55,-860193.2,89169.31,12739236.11,29033668,4
KXWCADVANCE-26JUN30FRASWE,-120081.12,-294563.34,174482.22,120081.12,0.0,13950163.12,28972585,5
KXNBAGAME-26APR25DETORL,-1738699.6,-2084256.69,345557.09,1651983.54,86716.06,12807152.6,28934879,8
KXNBAGAME-26APR21PHIBOS,1263669.33,957519.02,306150.31,-1340538.52,76869.19,13030774.67,28880511,6
KXWCGAME-26JUN14SWETUN,3172134.61,2872904.89,299229.72,-3172134.61,0.0,12131159.39,28831025,24
KXNBAGAME-26APR26CLETOR,-255158.19,-612823.61,357665.42,165408.9,89749.29,13820078.19,28152677,12
KXIPLGAME-26MAY271000RRSRH,-1210461.84,-1492365.42,281903.58,1210461.84,0.0,13334193.84,28011505,4
KXNBAEAST-26,727729.94,501352.49,226377.45,-784570.98,56841.04,10996194.06,27897563,41
KXIPLGAME-26MAY07RCBLSG,-1183219.44,-1510054.13,326834.69,1183219.44,0.0,13937319.44,27657007,9
KXNBAGAME-26APR27MINDEN,-1732434.86,-1927595.89,195161.03,1683388.06,49046.8,9388375.86,27089765,8
KXWCGAME-26JUL01BELSEN,-2336377.45,-2587131.05,250753.6,2336377.45,0.0,12126183.45,26964274,5
KXWCGAME-26JUL06USABEL,-1300968.04,-1610859.27,309891.23,1300968.04,0.0,12456755.04,26946171,6
KXNBAGAME-26APR25NYKATL,1211560.18,943022.42,268537.76,-1278939.48,67379.3,12935767.82,26685655,11
KXNBAGAME-26APR26BOSPHI,-1629441.86,-1849388.17,219946.31,1574227.96,55213.9,11430640.86,26531181,11
KXIPLGAME-26APR26KKRLSG,-1002326.56,-1320563.76,318237.2,1002326.56,0.0,13621696.56,26468098,9
KXWCSCORE-26JUL07ARGEGY,307986.2,169075.84,138910.36,-307986.2,0.0,6593000.8,26410417,3
KXNBAGAME-26APR17CHAORL,-1825600.02,-2076632.04,251032.02,1762581.55,63018.47,11674452.02,26379365,2
KXNBAGAME-26MAY01CLETOR,-432670.83,-795241.73,362570.9,341649.67,91021.16,12732968.83,26188802,5
KXNBAGAME-26APR20ATLNYK,-1092521.04,-1337899.3,245378.26,1030874.01,61647.03,13076388.04,26108575,6
KXNBAGAME-26MAY06MINSAS,-1593987.51,-1780103.92,186116.41,1547210.48,46777.03,8672613.51,25908561,7
KXWCGAME-26JUN21ESPKSA,-254759.08,-348443.3,93684.22,254759.08,0.0,7737176.08,25870878,65
KXWCGOAL-26JUL19ESPARG-ARGLMESSI10,-3367266.54,-3560230.18,192963.64,3367266.54,0.0,5687153.54,25545380,5
KXPGATOUR-ZUCONO26,370589.93,259843.7,110746.23,-398525.65,27935.72,6134584.07,25285537,7
KXMVESPORTSMULTIGAMEEXTENDED-S202637CCD68A903,-417447.6,-456786.06,39338.46,417447.6,0.0,1766938.6,25265564,6
KXIPLGAME-26APR29SRHMI,1825610.36,1499667.53,325942.83,-1825610.36,0.0,11298580.64,25200855,9
KXMVESPORTSMULTIGAMEEXTENDED-S202628BBF64DA6D,-273705.78,-293436.63,19730.85,273705.78,0.0,336118.78,25066058,5
KXNBAGAME-26MAY07CLEDET,-561074.04,-861528.37,300454.33,485665.74,75408.3,12162831.04,24392634,4
KXMVESPORTSMULTIGAMEEXTENDED-S20261C987A5B129,-267851.48,-287515.8,19664.32,267851.48,0.0,568782.48,24338959,9
KXNBAGAME-26APR30BOSPHI,557749.16,298928.95,258820.21,-622709.76,64960.6,11675351.84,24308868,3
KXNBAGAME-26APR28PORSAS,-763885.72,-887513.69,123627.97,732832.99,31052.73,8659393.72,24271064,5
KXNBAGAME-26APR29ORLDET,-1217877.24,-1411943.12,194065.88,1169103.98,48773.26,10540184.24,24256368,3
KXWCGAME-26JUN11MEXRSA,1394582.09,1206311.54,188270.55,-1394582.09,0.0,9423812.91,23765666,58
KXIPLGAME-26MAY11DCPBKS,-555720.7,-826388.13,270667.43,555720.7,0.0,11650661.7,23653977,8
KXMVESPORTSMULTIGAMEEXTENDED-S20266B32BBFAC0F,643607.28,542675.34,100931.94,-643607.28,0.0,2223476.72,23574488,2
KXNBAGAME-26APR28ATLNYK,-1013811.87,-1172951.73,159139.86,973874.92,39936.95,11795456.87,23399333,4
KXATPMATCH-26MAY29FONDJO,-1523051.78,-1818088.62,295036.84,1449059.25,73992.53,12124056.78,23385665,3
KXWCGAME-26JUN29BRAJPN,1218467.05,947130.31,271336.74,-1218467.05,0.0,10748815.95,23233450,4
KXWCGAME-26JUN30MEXECU,2010628.62,1730224.64,280403.98,-2010628.62,0.0,10212425.38,23156507,5
KXIPLGAME-26MAY03PBKSGT,-607292.45,-842040.86,234748.41,607292.45,0.0,11571294.45,23024383,9
KXWCGAME-26JUN29GERPAR,-1707091.14,-1954407.33,247316.19,1707091.14,0.0,10669301.14,22739946,3
KXNBAGAME-26APR25OKCPHX,-890028.97,-1072034.53,182005.56,844322.85,45706.12,8696335.97,22576225,8
KXIPLGAME-26MAY01DCRR,2230109.68,1931588.37,298521.31,-2230109.68,0.0,10947664.32,22468144,9
