report_ticker,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled,n_days
KXWC1HSPREAD,-938092.03,-1560697.84,622605.81,0.0,75513589,46
KXLOLMAP,-133876.61,-1045770.04,911893.43,0.0,75499084,112
KXINXU,82529.36,-301504.01,384033.37,0.0,75194878,112
KXWTASETWINNER,-654661.11,-1496975.23,842314.12,0.0,74975577,99
KXTRUMPMENTION,-454533.27,-929249.8,474716.53,0.0,72852866,103
KXNBAPTS,-2218084.74,-3095501.65,877416.91,0.0,67534742,60
KXNPBGAME,-216183.47,-998590.06,782406.59,0.0,65106617,113
KXATP,-337506.0,-958823.53,621317.53,0.0,63956961,72
KXFOMEN,219453.04,-247039.01,466492.05,117120.54,62938785,54
KXMAYORLA,-4931507.31,-5473394.81,541887.5,0.0,61822804,55
KXECULPGAME,-509775.49,-1081321.97,571546.48,0.0,59459393,80
KXWCFTTS,-336792.88,-846120.67,509327.79,0.0,58708284,40
KXWTI,-471783.71,-1058358.75,586575.04,0.0,57354800,113
KXMLBTEAMTOTAL,-1444955.47,-2180931.39,735975.92,0.0,56458147,112
KXHIGHLAX,-433579.01,-703699.4,270120.39,0.0,55674381,113
KXSERIEAGAME,-1545464.05,-2064766.48,519302.43,130958.95,51732374,40
KXWCSOA,-3784109.95,-4465626.54,681516.59,0.0,51570520,40
KXBOXING,-1434836.55,-1912587.65,477751.1,0.0,50768885,109
KXWC1HBTTS,-768740.94,-1217865.05,449124.11,0.0,49124203,45
KXARGPREMDIVGAME,-208026.4,-677603.73,469577.33,0.0,47425066,53
KXHUNDREDMATCH,-209255.63,-695869.82,486614.19,0.0,46989791,13
KXNHLSPREAD,-762695.0,-1386907.66,624212.66,0.0,46029613,61
KXPGAR2LEAD,-435564.03,-675500.77,239936.74,0.0,45590381,95
KXNBA1HWINNER,-485816.91,-984496.66,498679.75,0.0,45037256,60
KXUECLGAME,274508.64,-109777.89,384286.53,0.0,44567382,39
KXNBA1HSPREAD,-802942.47,-1412974.17,610031.7,0.0,44169565,59
KXNBASUMMERTOTAL,-822784.34,-1406978.1,584193.76,0.0,43866936,16
KXBRASILEIROGAME,-950753.89,-1386846.53,436092.64,0.0,43648624,70
KXTRUMPSAY,-448057.12,-560780.32,112723.2,0.0,42942006,113
KXWCGOALLEADER,-1469538.14,-1722644.74,253106.6,0.0,42802736,96
KXMLBHRDERBY,-768196.8,-1158877.92,390681.12,0.0,42504335,4
KXNBA1HTOTAL,-273572.47,-809923.09,536350.62,0.0,41344822,59
KXBUNDESLIGAGAME,-334033.71,-730993.15,396959.44,100068.4,41227436,40
KXNCAABBGAME,-250621.15,-731471.17,480850.02,0.0,41213529,64
KXWC2HTOTAL,-303633.85,-704719.67,401085.82,0.0,41196035,34
KXWTA,-1480910.11,-1949341.62,468431.51,0.0,40808070,66
KXRT,-680722.45,-886427.6,205705.15,0.0,39737322,111
KXKBOGAME,-441805.81,-945363.1,503557.29,0.0,39520909,109
KXVALORANTMAP,-273467.81,-749973.91,476506.1,0.0,38658504,114
KXNHL,-572905.27,-884327.93,311422.66,78284.74,38520818,61
KXIPL,-561578.56,-874313.17,312734.61,0.0,38490812,47
KXPGATOP20,617512.21,204596.82,412915.39,0.0,34931524,110
KXDOTA2GAME,-389564.81,-766276.89,376712.08,0.0,33723187,102
KXWCROUND,-638935.07,-1044703.27,405768.2,0.0,33694066,92
KXMLBHIT,-104038.78,-449396.96,345358.18,0.0,33228733,112
KXMLSTOTAL,-231902.28,-647664.25,415761.97,0.0,33182653,63
KXCLUBFTOTAL,-330542.04,-657273.9,326731.86,0.0,31661243,17
KXUCL,502735.11,4075.78,498659.33,125286.42,31316233,46
KXSENATEMID,-408372.81,-542978.95,134606.13,0.0,31021205,113
KXLIGUE1GAME,-468906.62,-789576.54,320669.92,80945.31,30952116,38
KXWCFIRSTGOAL,-434908.73,-668749.15,233840.42,0.0,30594132,38
KXMLBF5SPREAD,-275803.34,-600038.07,324234.73,0.0,30150516,111
KXNBATEAMTOTAL,-481383.99,-867084.28,385700.29,0.0,29257208,59
KXPGAR3LEAD,-128431.03,-321663.3,193232.27,0.0,29083667,105
KXNASDAQ100U,64134.17,-103866.71,168000.88,0.0,28331940,112
KXNBAEAST,727729.94,501352.49,226377.45,56841.04,27897563,41
KXCONMEBOLSUDGAME,-134994.58,-368627.56,233632.98,0.0,27008349,38
KXSOLD,-242514.3,-402107.96,159593.66,0.0,26772748,113
KXBRASILEIROBGAME,-387043.89,-629485.73,242441.84,0.0,26690241,29
KXNBASUMMERSPREAD,-501407.77,-855047.42,353639.65,0.0,26682583,16
KXITFDOUBLES,-300624.78,-570029.32,269404.54,0.0,26513291,27
KXWCAST,-838060.54,-1064112.59,226052.05,0.0,26426134,40
KXHIGHNY,-264776.97,-450724.93,185947.96,0.0,26308226,113
KXNBASERIESSCORE,439906.18,179375.41,260530.77,0.0,26196723,61
KXHORMUZNORM,161945.57,-50527.82,212473.4,0.0,25478552,112
KXWC2HBTTS,43980.8,-258748.85,302729.65,0.0,25395664,34
KXITFWDOUBLES,-116337.68,-341872.71,225535.03,0.0,24778294,28
KXCONMEBOLLIBGAME,-283084.03,-499420.06,216336.03,0.0,24558914,35
KXUCLTOTAL,-522343.74,-807536.53,285192.79,0.0,24042406,65
KXF1RACE,-122424.73,-312576.78,190152.05,48480.88,23935121,83
KXWC2HSPREAD,-404726.3,-610076.17,205349.87,0.0,23316853,34
KXEPLTOTAL,-617940.57,-925240.35,307299.78,0.0,23200001,40
KXNBAFINMVP,130753.96,-55053.0,185806.96,0.0,23109252,61
KXMLBHRR,-372893.3,-682468.92,309575.62,0.0,22742999,112
KXCHNSLGAME,-220125.77,-434665.06,214539.29,0.0,22312524,80
KXINTLFRIENDLYTOTAL,5919.53,-254469.62,260389.15,0.0,22246427,11
KXNFLDRAFTPICK,-371354.19,-527357.27,156003.08,0.0,22220940,10
KXWHUNDREDMATCH,-84683.66,-354913.02,270229.36,0.0,22080348,14
KXNWSLGAME,-164933.28,-365822.18,200888.9,0.0,21746132,72
KXHIGHMIA,-151802.17,-260139.73,108337.56,0.0,21742149,113
KXJLEAGUEGAME,191035.35,-19473.48,210508.83,0.0,21438289,48
KXKY4R,-1156040.73,-1324032.15,167991.42,0.0,21100749,35
KXPGATOP10,-277079.09,-490257.3,213178.21,0.0,21057436,110
KXUELGAME,289090.21,84031.48,205058.73,0.0,20609103,51
KXNHLSERIES,-427745.59,-722447.15,294701.56,74130.13,20336476,34
KXDIMAYORGAME,87436.4,-98335.47,185771.87,0.0,20279093,56
KXLIUSAELIMINATION,-353579.14,-403059.16,49480.02,0.0,20202144,31
