row_label,ALL_PARLAYS,Multi-game sports,Cross-category,NFL single game,NFL multi-game,NFL prepack,NBA single game,NCAAF prepack,CBB championship,Other,fees_ALL_PARLAYS,fees_Multi-game sports,fees_Cross-category,fees_NFL single game,fees_NFL multi-game,fees_NFL prepack,fees_NBA single game,fees_NCAAF prepack,fees_CBB championship,fees_Other,net_pnl_ALL_PARLAYS,net_pnl_Multi-game sports,net_pnl_Cross-category,net_pnl_NFL single game,net_pnl_NFL multi-game,net_pnl_NFL prepack,net_pnl_NBA single game,net_pnl_NCAAF prepack,net_pnl_CBB championship,net_pnl_Other,net_pnl_pct_ALL_PARLAYS,net_pnl_pct_Multi-game sports,net_pnl_pct_Cross-category,net_pnl_pct_NFL single game,net_pnl_pct_NFL multi-game,net_pnl_pct_NFL prepack,net_pnl_pct_NBA single game,net_pnl_pct_NCAAF prepack,net_pnl_pct_CBB championship,net_pnl_pct_Other
2026-03-07,10409998.81,1076026.91,9330361.55,0,0,0,4.11,0,0,3606.24,464013.45,43586.78,420250.7,0,0,0,0.28,0,0,175.69,-2786850.21,-304009.49,-2481017.4,0,0,0,-4.39,0,0,-1818.93,-26.77,-28.25,-26.59,,,,-106.81,,,-50.44
2026-03-08,8662979.79,1411271.83,7245034.27,0,0,0,6.45,0,0,6667.24,385934.72,58966.4,326620.13,0,0,0,0.39,0,0,347.8,-1706435.16,-328329.68,-1373495.6,0,0,0,-6.84,0,0,-4603.04,-19.7,-23.26,-18.96,,,,-106.05,,,-69.04
2026-03-09,5529595.23,839908.67,4685176.97,0,0,0,1.48,0,0,4508.11,246897.65,35401.99,211291.33,0,0,0,0.06,0,0,204.27,-777831.45,47663.45,-822818.98,0,0,0,2.46,0,0,-2678.38,-14.07,5.67,-17.56,,,,166.22,,,-59.41
2026-03-10,7321142.88,1062774.32,6249930.62,0,0,0,2999.45,0,0,5438.49,334632.42,44950.45,289367.99,0,0,0,63.71,0,0,250.27,-850949.23,-320524.98,-527129.33,0,0,0,-3063.16,0,0,-231.76,-11.62,-30.16,-8.43,,,,-102.12,,,-4.26
2026-03-11,8020221.18,937910,7071100.92,0,0,0,999.6,0,0,10210.66,357333.9,38615.97,318230.08,0,0,0,21,0,0,466.85,-1063953.36,-129810.7,-931598.55,0,0,0,-1020.6,0,0,-1523.51,-13.27,-13.84,-13.17,,,,-102.1,,,-14.92
2026-03-12,7805286.67,4882023.6,2913412.51,0,0,0,0,0,0,9850.56,338376.41,214406.96,123555.66,0,0,0,0,0,0,413.79,937876.97,665057.82,278177.5,0,0,0,0,0,0,-5358.35,12.02,13.62,9.55,,,,,,,-54.4
2026-03-13,8255240.51,5931553.23,2313366.82,0,0,0,0,0,0,10320.46,357754.48,255800.88,101488.8,0,0,0,0,0,0,464.8,921924.06,662081.52,265574.8,0,0,0,0,0,0,-5732.26,11.17,11.16,11.48,,,,,,,-55.54
2026-03-14,9611584.14,6751937.96,2834025.38,0,0,0,0,0,0,25620.8,420935.68,294859.05,124933.29,0,0,0,0,0,0,1143.34,-1162142.04,-685695.09,-466592.81,0,0,0,0,0,0,-9854.14,-12.09,-10.16,-16.46,,,,,,,-38.46
2026-03-15,7943338.9,5585563.66,2077699.61,0,0,0,0,0,0,280075.63,354202.8,248268.86,94592.55,0,0,0,0,0,0,11341.39,-2667177.47,-1821759.75,-756783.7,0,0,0,0,0,0,-88634.02,-33.58,-32.62,-36.42,,,,,,,-31.65
2026-03-16,5263409.99,3486519.71,1769641.77,0,0,0,1,0,7247.51,0,239832.25,158109.72,81393.92,0,0,0,0.07,0,328.54,0,1493363.44,1015863.18,481298.22,0,0,0,-1.07,0,-3796.89,0,28.37,29.14,27.2,,,,-107,,-52.39,
2026-03-17,6736673.91,3919180.98,2788943.39,0,0,0,0,0,28549.54,0,299031.83,175483.21,121985.98,0,0,0,0,0,1562.64,0,1697614.71,1227557.8,487628.8,0,0,0,0,0,-17571.89,0,25.2,31.32,17.48,,,,,,-61.55,
2026-03-18,7804546.41,4538416.22,3197372.49,0,0,0,984.92,0,67772.78,0,343257.37,202090.25,137113.73,0,0,0,51.83,0,4001.56,0,-1190889.2,-766589.79,-402541.68,0,0,0,-30.75,0,-21726.98,0,-15.26,-16.89,-12.59,,,,-3.12,,-32.06,
2026-03-19,10383124.2,6049960.85,4166963.61,0,0,0,1353.43,0,164846.31,0,455157.13,267982.16,178490.46,0,0,0,73.52,0,8610.99,0,-1785472.15,-1050852.27,-690937.75,0,0,0,133.05,0,-43815.18,0,-17.2,-17.37,-16.58,,,,9.83,,-26.58,
2026-03-20,10818188.22,6105409.69,4571923.8,0,0,0,2641.24,0,138213.49,0,468796.25,269518.21,192305.89,0,0,0,139.25,0,6832.9,0,1609416.36,1211767.18,350887.62,0,0,0,-307.49,0,47069.05,0,14.88,19.85,7.67,,,,-11.64,,34.06,
2026-03-21,12432333.9,6942813.61,5341656.38,0,0,0,1568.77,0,146295.14,0,542852.87,307003.81,228215.23,0,0,0,82.27,0,7551.56,0,-292992.51,-81402.9,-168797.68,0,0,0,883.26,0,-43675.19,0,-2.36,-1.17,-3.16,,,,56.3,,-29.85,
2026-03-22,12057599.22,6386842.25,5461258.34,0,0,0,1100.2,0,208398.43,0,525884.88,283724.48,231251.36,0,0,0,57.34,0,10851.7,0,-562706.61,-297910.73,-253886.84,0,0,0,-57.34,0,-10851.7,0,-4.67,-4.66,-4.65,,,,-5.21,,-5.21,
2026-03-23,7243350.16,3813959.33,3291460.72,0,0,0,3244.43,0,134685.68,0,320569.82,171176.99,142291,0,0,0,162.71,0,6939.12,0,-320569.82,-171176.99,-142291,0,0,0,-162.71,0,-6939.12,0,-4.43,-4.49,-4.32,,,,-5.02,,-5.15,
TOTAL,567473834.3,335123169.78,122677960.84,31951035.26,8884024.62,43477005.6,10338064.44,12845758.48,896008.88,1280806.4,25929850.03,15565751.68,5462430.86,1616520.6,434398.08,1780353.12,467054.88,504105.32,46679.01,52556.48,-55052386.35,-34769602.65,-6595192.69,-3720886.82,-2175328.82,-5018618.48,-1063371.9,-1482428.8,-101307.9,-125648.29,-9.7,-10.38,-5.38,-11.65,-24.49,-11.54,-10.29,-11.54,-11.31,-9.81
