date,report_ticker,side,contracts_settled,notional_settled
2026-04-15,KXNFLDRAFTWR,no,3983,2799.35
2026-04-15,KXNFLDRAFTTOP,yes,29040,13039.8
2026-04-15,KXNFLDRAFTTOP,no,23861,10778.33
2026-04-15,KXNFLDRAFTTEAM,yes,38745,7680.92
2026-04-15,KXNFLDRAFTTEAM,no,2144,1736.56
2026-04-15,KXNFLDRAFTTE,yes,168,28.63
2026-04-15,KXNFLDRAFTTE,no,132,52.5
2026-04-15,KXNFLDRAFTRB,yes,988,748.07
2026-04-15,KXNFLDRAFTRB,no,5,1.05
2026-04-15,KXNFLDRAFTQB,yes,252,130.66
2026-04-15,KXNFLDRAFTQB,no,62,49.0
2026-04-15,KXNFLDRAFTPICK,yes,117849,29513.68
2026-04-15,KXNFLDRAFTOL,yes,2660,641.86
2026-04-15,KXPERSONMENTION,no,632,357.15
2026-04-15,KXPERSONMENTION,yes,2121,1092.23
2026-04-15,KXPERSONPUBLIC,no,10,1.0
2026-04-15,KXRAINMIAM,no,1119,672.24
2026-04-15,KXRAINLAXM,yes,432,26.28
2026-04-15,KXRAINLAXM,no,1128,1078.88
2026-04-15,KXRAINHOUM,yes,719,153.25
2026-04-15,KXRAINHOUM,no,1329,686.06
2026-04-15,KXRAINDENM,yes,3939,1989.11
2026-04-15,KXRAINDENM,no,1909,1388.52
2026-04-15,KXRAINDALM,yes,230,69.42
2026-04-15,KXRAINDALM,no,67,54.92
2026-04-15,KXRAINCHIM,yes,6228,3182.29
2026-04-15,KXRAINCHIM,no,7771,4600.62
2026-04-15,KXRAINAUSM,yes,516,222.93
2026-04-15,KXRAINAUSM,no,903,763.43
2026-04-15,KXRACE,yes,6226,3486.59
2026-04-15,KXRACE,no,13228,10398.9
2026-04-15,KXR6MAP,yes,11949,8993.26
2026-04-15,KXR6MAP,no,5679,3933.36
2026-04-15,KXR6GAME,yes,31607,18167.71
2026-04-15,KXR6GAME,no,10281,5312.42
2026-04-15,KXQUADRUPLEDOUBLE,yes,1280,63.82
2026-04-15,KXQUADRUPLEDOUBLE,no,2635,2535.95
2026-04-15,KXPSLGAME,yes,411536,228516.15
2026-04-15,KXPSLGAME,no,166275,60763.44
2026-04-15,KXPSL,yes,5,1.9
2026-04-15,KXPSKY,yes,41,32.48
2026-04-15,KXRAINMIAM,yes,485,212.8
2026-04-15,KXPSASQUASH,yes,42941,4031.97
2026-04-15,KXRAINNYC,no,1422,567.83
2026-04-15,KXRAINNYCM,no,242,138.52
2026-04-15,KXROLEX,no,4,1.6
2026-04-15,KXROCKANDROLLHALLOFFAME,yes,2086,27.4
2026-04-15,KXROCKANDROLLHALLOFFAME,no,44,25.92
2026-04-15,KXROASTSUBJECT,no,96,5.43
2026-04-15,KXRFKMENTION,yes,4962,3396.35
2026-04-15,KXRFKMENTION,no,1005,458.33
2026-04-15,KXRECNCH,yes,6,3.66
2026-04-15,KXRECCOUNT,no,555,471.75
2026-04-15,KXRECBILL,no,600,476.0
2026-04-15,KXRBWSTRIKE,yes,2392,1086.18
2026-04-15,KXRBWSTRIKE,no,861,317.52
2026-04-15,KXRBLX,yes,42,20.16
2026-04-15,KXRBLX,no,1246,1121.08
2026-04-15,KXRANKLISTSONGTOP10,no,1073,1019.96
