date,kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-01-29,Economics,-11144.76,-16844.18,5699.42,986.67,909430
2026-01-29,Elections,-1725.47,-1982.93,257.46,0.0,57165
2026-01-29,Entertainment,-7744.13,-18407.12,10662.99,0.0,1793256
2026-01-29,Financials,-91207.03,-99645.37,8438.34,0.0,1340426
2026-01-29,Mentions,-179713.29,-206612.29,26899.0,0.0,4030066
2026-01-29,Non-parlay sports,-683597.1,-2690018.94,2006421.84,367084.95,186200961
2026-01-29,Other non-sports,5385.11,5106.2,278.91,0.0,24383
2026-01-29,Parlays,-94098.91,-241304.16,147205.25,0.0,21974403
2026-01-29,Politics,-202838.38,-506135.59,303297.21,0.0,38290866
2026-01-29,Science and Technology,-3295.76,-3630.74,334.98,77.55,319952
2026-01-30,Climate and Weather,-27684.51,-42340.76,14656.25,0.0,2745402
2026-01-30,Companies,-15779.61,-19253.54,3473.93,0.0,364457
2026-01-30,Crypto,-207042.92,-435473.74,228430.82,12.53,21089525
2026-01-30,Economics,50578.7,41645.42,8933.28,2048.94,1592934
2026-01-30,Elections,-1318.94,-1651.03,332.09,0.0,90108
2026-01-30,Entertainment,-24354.53,-38473.6,14119.07,0.0,2181331
2026-01-30,Financials,29200.89,21439.81,7761.08,0.0,1254513
2026-01-30,Mentions,-21217.49,-28710.59,7493.1,0.0,1507190
2026-01-30,Non-parlay sports,1697654.31,-728472.5,2426126.81,469458.88,209167831
