group,price_bin,n_trades,n_contracts,sum_price_midpoint,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error,n_events,n_events_eff,se_wt,se_trades,se_naive_trade_level,se_inflation_vs_naive,ci_lo,ci_hi,significant,se_reliable
ASC,35,191077,26150988,7165387.5,80254,10677615,0.4200086876,0.4083063859,0.375,0.0333063859,1977,116.3,0.0424787023,0.0448435953,0.0011291085,37.62145319,-0.0516510187,0.1182637905,0,1
ASC,40,226323,32835601,9618727.5,104504,14808438,0.461747149,0.4509872718,0.425,0.0259872718,2036,80.5,0.0546870501,0.0536034363,0.0010479268,52.18594625,-0.0833868284,0.1353613721,0,1
ASC,45,230684,33945491,10957490,123862,18248080,0.5369336408,0.5375700705,0.475,0.0625700705,2062,124.6,0.0417018443,0.0463759897,0.0010381813,40.16817274,-0.0208336182,0.1459737591,0,1
ASC,50,221632,32404398,11635680,130582,19173278,0.5891838724,0.5916875265,0.525,0.0666875265,2062,149,0.0344074083,0.0383211263,0.0010450401,32.92448774,-0.0021272901,0.1355023432,0,1
ASC,55,204575,29170288,11763062.5,130602,18707657,0.6384064524,0.6413257594,0.575,0.0663257594,1993,160.2,0.0324637459,0.0320246356,0.0010622646,30.56088596,0.0013982676,0.1312532512,1,1
ASC,60,192278,26819723,12017375,126466,17522994,0.6577247527,0.653362225,0.625,0.028362225,1882,193.1,0.0317800596,0.0300570563,0.0010820443,29.37038676,-0.0351978942,0.0919223441,0,1
ASC,65,181129,25291950,12226207.5,120993,16491061,0.6679935295,0.6520280841,0.675,-0.0229719159,1781,96.5,0.0505112591,0.0416138624,0.0011065356,45.64810861,-0.1239944342,0.0780506023,0,1
ASC,70,159342,21923335,11552295,113212,15359565,0.7104969186,0.7006035112,0.725,-0.0243964888,1675,91.9,0.0466262501,0.0368313741,0.001136168,41.03816429,-0.1176489889,0.0688560113,0,1
ASC,75,138288,17827190,10717320,107815,13798448,0.779641039,0.7740113484,0.775,-0.0009886516,1640,195,0.0247732271,0.0193808498,0.0011146036,22.22604188,-0.0505351059,0.0485578026,0,1
ASC,80,151567,19924436,12504277.5,129259,17022675,0.8528175658,0.8543617294,0.825,0.0293617294,1656,92.3,0.0249656135,0.0190512596,0.0009100259,27.43396062,-0.0205694976,0.0792929564,0,1
ASC,85,138096,19475756,12083400,122227,17037457,0.8850871857,0.8748033462,0.875,-0.0001966538,1623,119.3,0.0287544661,0.0182402296,0.0008581964,33.5056927,-0.057705586,0.0573122784,0,1
ASC,90,146748,21950470,13574190,137940,20582837,0.9399787391,0.9376945804,0.925,0.0126945804,1643,88.9,0.0148732027,0.0098436776,0.0006200482,23.98717043,-0.0170518251,0.0424409859,0,1
ASC,95,212689,34277659,20737177.5,207955,33450985,0.9777421493,0.9758830053,0.975,0.0008830053,2788,189.9,0.0058506531,0.0035705832,0.0003198757,18.29039505,-0.010818301,0.0125843116,0,1
AADC,0,91596,34066371,228990,354,359589,0.0038647976,0.0105555389,0.025,-0.0144444611,27,11.8,0.0090809371,0.0033682449,0.0002050144,44.29415303,-0.0326063354,0.0037174131,0,0
AADC,5,129521,27282963,971407.5,2390,374301,0.0184526061,0.0137192251,0.075,-0.0612807749,27,9,0.0110325502,0.0143482961,0.0003739507,29.50268291,-0.0833458752,-0.0392156746,0,0
AADC,10,126048,21162778,1575600,12724,1933051,0.1009456715,0.0913420486,0.125,-0.0336579514,27,10,0.0577381072,0.0634867544,0.0008485332,68.04460592,-0.1491341657,0.081818263,0,0
AADC,15,89775,12692401,1571062.5,15993,1931360,0.1781453634,0.1521666426,0.175,-0.0228333574,27,9.5,0.0760349312,0.0908680732,0.0012770475,59.53962541,-0.1749032199,0.1292365051,0,0
AADC,20,79582,12368803,1790595,7633,884590,0.0959136488,0.0715177967,0.225,-0.1534822033,25,11.1,0.0454137864,0.0621306082,0.0010438491,43.50608206,-0.2443097761,-0.0626546305,0,0
AADC,25,112968,15503624,3106620,12912,1463433,0.1142978543,0.0943929479,0.275,-0.1806070521,23,9.2,0.0650622583,0.0760754943,0.0009466407,68.72962374,-0.3107315687,-0.0504825355,0,0
AADC,30,192478,24118523,6255535,51697,5221504,0.2685865398,0.216493505,0.325,-0.108506495,23,7.8,0.1600715314,0.1827465116,0.0010102597,158.4459169,-0.4286495578,0.2116365677,0,0
AADC,35,202377,23163414,7589137.5,29424,2809977,0.1453920159,0.121310985,0.375,-0.253689015,22,6.1,0.078928372,0.0916695921,0.0007835617,100.7302634,-0.4115457589,-0.095832271,0,0
AADC,40,124630,14408107,5296775,54269,4768117,0.4354409051,0.3309329495,0.425,-0.0940670505,24,9.6,0.1379047644,0.1615772019,0.0014044556,98.19090259,-0.3698765794,0.1817424784,0,0
AADC,45,157414,20850914,7477165,60940,7284233,0.3871320213,0.3493483569,0.475,-0.1256516431,22,4.1,0.0948871189,0.1084087352,0.0012276974,77.28868617,-0.3154258809,0.0641225948,0,0
AADC,50,318644,43015663,16728810,49994,6465937,0.1568960972,0.1503158789,0.525,-0.3746841211,22,4.3,0.0709625531,0.0729702453,0.0006443083,110.1375686,-0.5166092273,-0.2327590149,0,0
AADC,55,415253,61361855,23877047.5,247409,34574432,0.5958030406,0.5634515433,0.575,-0.0115484567,20,3.1,0.2770529706,0.2542621176,0.0007615378,363.8072268,-0.5656543979,0.5425574846,0,0
AADC,60,217323,23890367,13582687.5,141047,15354491,0.6490201221,0.6427063902,0.625,0.0177063902,24,8.8,0.1539714508,0.1632200095,0.0010238052,150.3913499,-0.2902365114,0.3256492918,0,0
AADC,65,155004,18527369,10462770,97723,11320121,0.6304546979,0.610994498,0.675,-0.064005502,25,8.6,0.1816494559,0.1727611048,0.0012259968,148.1647077,-0.4273044138,0.2992934097,0,0
AADC,70,249406,34953017,18081935,217847,30329268,0.8734633489,0.8677153022,0.725,0.1427153022,25,8,0.0817108484,0.0773007236,0.0006656977,122.7446741,-0.0207063947,0.3061369991,0,0
AADC,75,163281,21419715,12654277.5,139605,18207481,0.8549984383,0.850033768,0.775,0.075033768,26,6,0.1168252765,0.114159877,0.0008713671,134.0712451,-0.158616785,0.3086843211,0,0
AADC,80,90774,12567989,7488855,80781,11070934,0.8899134113,0.8808835011,0.825,0.0558835011,28,9.9,0.0633793263,0.0580965314,0.0010388679,61.00806804,-0.0708751516,0.1826421537,0,0
AADC,85,126955,17751888,11108562.5,100363,14515265,0.7905399551,0.8176744397,0.875,-0.0573255603,28,9.9,0.1073218345,0.1314053939,0.0011420565,93.9724358,-0.2719692293,0.1573181087,0,0
AADC,90,85919,18187935,7947507.5,82633,17150228,0.9617546759,0.9429453358,0.925,0.0179453358,28,5,0.0430237087,0.0316191523,0.0006542997,65.75535482,-0.0681020816,0.1039927533,0,0
AADC,95,101936,24684327,9938760,100943,24445390,0.9902585936,0.9903202701,0.975,0.0153202701,28,12,0.0080342027,0.0081340355,0.0003076248,26.11688883,-0.0007481354,0.0313886756,0,0
