date,contracts_sports,contracts_nonsports,contracts_total
2025-09-04,1412289,23328,1435617
2025-09-05,1724967,35436,1760403
2025-09-08,2253528,15834,2269362
2025-09-09,1929190,66054,1995244
2025-09-10,1518918,105917,1624835
2025-09-11,1764517,52502,1817019
2025-09-12,2174170,2754,2176924
2025-09-15,3242082,1778,3243860
2025-09-16,3308934,3405,3312339
2025-09-17,2828470,10237,2838707
2025-09-18,3638482,1171,3639653
2025-09-19,3944708,2397,3947105
2025-09-22,4892780,1245,4894025
2025-09-23,3586368,1635,3588003
2025-09-24,3138121,2131,3140252
2025-09-25,3969611,7916,3977527
2025-09-26,4182068,2865,4184933
2025-09-29,6077998,4376,6082374
2025-09-30,4176874,4064,4180938
2025-10-01,3558367,8171,3566538
2025-10-02,4311759,22362,4334121
2025-10-03,5950102,8501,5958603
2025-10-06,6658212,3032,6661244
2025-10-07,5557396,3352,5560748
2025-10-08,4063384,5036,4068420
2025-10-09,3608393,11670,3620063
2025-10-10,5689871,1977,5691848
2025-10-13,6297129,8893,6306022
2025-10-14,5723322,16380,5739702
2025-10-15,3241201,26586,3267787
2025-10-16,3207380,3032,3210412
2025-10-17,5925809,15703,5941512
2025-10-20,7643426,4554,7647980
2025-10-21,6441771,7625,6449396
2025-10-22,5198380,9624,5208004
2025-10-23,6387379,14939,6402318
2025-10-24,6620053,5279,6625332
2025-10-27,7653676,25956,7679632
2025-10-28,7574665,49138,7623803
2025-10-29,6433125,54218,6487343
2025-10-30,8378161,25442,8403603
2025-10-31,7287867,1562,7289429
2025-11-03,11386670,2575,11389245
2025-11-04,12885148,12702,12897850
2025-11-05,8368579,3762,8372341
2025-11-06,6548965,1602,6550567
2025-11-07,11639466,11396,11650862
2025-11-10,9365272,3788,9369060
2025-11-11,8676920,1594,8678514
2025-11-12,7562028,1898,7563926
2025-11-13,8859637,694,8860331
2025-11-14,7304244,337,7304581
2025-11-17,11989548,3319,11992867
2025-11-18,9696511,2799,9699310
2025-11-19,7157780,2963,7160743
2025-11-20,8399992,41330,8441322
2025-11-21,10546182,4535,10550717
2025-11-24,12223507,9040,12232547
2025-11-25,8853130,1798,8854928
2025-11-26,9572441,4626,9577067
2025-11-27,16469310,6516,16475826
2025-11-28,22201461,25533,22226994
2025-12-01,12387422,21405,12408827
2025-12-02,18914852,4132,18918984
2025-12-03,19450871,18911,19469782
2025-12-04,12028867,3522,12032389
2025-12-05,11254615,20449,11275064
2025-12-08,9559250,26243,9585493
2025-12-09,8010510,14856,8025366
2025-12-10,7504936,47738,7552674
2025-12-11,6862479,7782,6870261
2025-12-12,7541650,44454,7586104
2025-12-15,10803830,14187,10818017
2025-12-16,9110304,14490,9124794
2025-12-17,14220719,14072,14234791
2025-12-18,14883577,24201,14907778
2025-12-19,13673754,15654,13689408
2025-12-22,13533657,2660,13536317
2025-12-23,10996639,2772,10999411
2025-12-24,9645911,1853,9647764
2025-12-25,11876243,2030,11878273
2025-12-26,13724669,12573,13737242
2025-12-29,15227235,68422,15295657
2025-12-30,12578192,5199,12583391
2025-12-31,14023491,13134,14036625
2026-01-01,18872708,8031,18880739
2026-01-02,15533971,71996,15605967
2026-01-05,12442464,39907,12482371
2026-01-06,12711562,350856,13062418
2026-01-07,13558588,363471,13922059
2026-01-08,13745750,349290,14095040
2026-01-09,13715711,252965,13968676
2026-01-12,14095521,262804,14358325
2026-01-13,11013397,611828,11625225
2026-01-14,9860500,976491,10836991
2026-01-15,13541968,864626,14406594
2026-01-16,11709150,1192222,12901372
2026-01-19,19812420,443487,20255907
2026-01-20,15507441,559192,16066633
2026-01-21,14367197,673919,15041116
2026-01-22,13856485,504366,14360851
2026-01-23,14027667,744391,14772058
2026-01-26,17713488,619492,18332980
2026-01-27,12777526,1167379,13944905
2026-01-28,17856443,1235684,19092127
2026-01-29,13101431,844041,13945472
2026-01-30,17065061,1121532,18186593
2026-02-02,9092450,1059856,10152306
2026-02-03,8530427,1536999,10067426
2026-02-04,12787357,1585489,14372846
2026-02-05,15414463,1667841,17082304
2026-02-06,13496876,1757273,15254149
2026-02-09,19159058,1602682,20761740
2026-02-10,11188576,1998261,13186837
2026-02-11,9763572,1961257,11724829
2026-02-12,9645394,720140,10365534
2026-02-13,10766817,1010321,11777138
2026-02-16,5388826,369032,5757858
2026-02-17,7082317,754006,7836323
2026-02-18,11523323,1535203,13058526
2026-02-19,10070951,948663,11019614
2026-02-20,15470192,2174931,17645123
2026-02-23,8156473,1353886,9510359
2026-02-24,8675976,1767503,10443479
2026-02-25,14019041,2416117,16435158
2026-02-26,13154200,2203359,15357559
2026-02-27,12369448,2406956,14776404
2026-03-02,8927257,2057915,10985172
2026-03-03,12813093,2466355,15279448
2026-03-04,18653865,3061187,21715052
2026-03-05,16808344,2434721,19243065
2026-03-06,15753466,2626862,18380328
2026-03-09,13554454,1741255,15295709
2026-03-10,14032487,2607557,16640044
2026-03-11,18588540,2703275,21291815
2026-03-12,20089890,2629798,22719688
2026-03-13,21690087,2673626,24363713
2026-03-16,13830539,1679836,15510375
2026-03-17,13306642,2069946,15376588
2026-03-18,15250503,2265454,17515957
2026-03-19,26389727,3468660,29858387
2026-03-20,27873345,4232871,32106216
2026-03-23,19169114,1857163,21026277
2026-03-24,11741648,1675696,13417344
2026-03-25,9723453,1730725,11454178
2026-03-26,14513357,3464581,17977938
2026-03-27,15875839,3859958,19735797
2026-03-30,13441008,1875118,15316126
2026-03-31,13479882,2830830,16310712
2026-04-01,15994195,2953337,18947532
2026-04-02,13196440,2115361,15311801
2026-04-03,15864924,3158535,19023459
2026-04-06,18244774,2431787,20676561
2026-04-07,19958114,2996122,22954236
2026-04-08,21274150,3127692,24401842
2026-04-09,20951168,2935831,23886999
2026-04-10,17301329,2860165,20161494
2026-04-13,15070006,2203537,17273543
2026-04-14,12377478,2574544,14952022
2026-04-15,18566291,2770529,21336820
2026-04-16,18879974,2921844,21801818
2026-04-17,14508538,2439747,16948285
