platform,date,segment_type,segment,size_bucket,bucket_order,trade_count,contracts,max_trade_size,avg_trade_size
DKeX,2026-06-11,All,All,1-9,1,1,1.0,1.0,1.0
DKeX,2026-06-11,All,All,10-99,2,0,0.0,,
DKeX,2026-06-11,All,All,100-999,3,0,0.0,,
DKeX,2026-06-11,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-11,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-11,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-11,All,All,100k+,7,0,0.0,,
DKeX,2026-06-12,All,All,1-9,1,0,0.0,,
DKeX,2026-06-12,All,All,10-99,2,0,0.0,,
DKeX,2026-06-12,All,All,100-999,3,0,0.0,,
DKeX,2026-06-12,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-12,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-12,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-12,All,All,100k+,7,0,0.0,,
DKeX,2026-06-13,All,All,1-9,1,0,0.0,,
DKeX,2026-06-13,All,All,10-99,2,0,0.0,,
DKeX,2026-06-13,All,All,100-999,3,0,0.0,,
DKeX,2026-06-13,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-13,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-13,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-13,All,All,100k+,7,0,0.0,,
DKeX,2026-06-14,All,All,1-9,1,0,0.0,,
DKeX,2026-06-14,All,All,10-99,2,0,0.0,,
DKeX,2026-06-14,All,All,100-999,3,0,0.0,,
DKeX,2026-06-14,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-14,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-14,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-14,All,All,100k+,7,0,0.0,,
DKeX,2026-06-15,All,All,1-9,1,0,0.0,,
DKeX,2026-06-15,All,All,10-99,2,0,0.0,,
DKeX,2026-06-15,All,All,100-999,3,0,0.0,,
DKeX,2026-06-15,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-15,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-15,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-15,All,All,100k+,7,0,0.0,,
DKeX,2026-06-16,All,All,1-9,1,0,0.0,,
DKeX,2026-06-16,All,All,10-99,2,0,0.0,,
DKeX,2026-06-16,All,All,100-999,3,0,0.0,,
DKeX,2026-06-16,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-16,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-16,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-16,All,All,100k+,7,0,0.0,,
DKeX,2026-06-17,All,All,1-9,1,0,0.0,,
DKeX,2026-06-17,All,All,10-99,2,1,50.0,50.0,50.0
DKeX,2026-06-17,All,All,100-999,3,0,0.0,,
DKeX,2026-06-17,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-17,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-17,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-17,All,All,100k+,7,0,0.0,,
DKeX,2026-06-18,All,All,1-9,1,0,0.0,,
DKeX,2026-06-18,All,All,10-99,2,1,25.0,25.0,25.0
DKeX,2026-06-18,All,All,100-999,3,0,0.0,,
DKeX,2026-06-18,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-18,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-18,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-18,All,All,100k+,7,0,0.0,,
DKeX,2026-06-19,All,All,1-9,1,0,0.0,,
DKeX,2026-06-19,All,All,10-99,2,0,0.0,,
DKeX,2026-06-19,All,All,100-999,3,0,0.0,,
DKeX,2026-06-19,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-19,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-19,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-19,All,All,100k+,7,0,0.0,,
DKeX,2026-06-20,All,All,1-9,1,0,0.0,,
DKeX,2026-06-20,All,All,10-99,2,0,0.0,,
DKeX,2026-06-20,All,All,100-999,3,0,0.0,,
DKeX,2026-06-20,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-20,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-20,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-20,All,All,100k+,7,0,0.0,,
DKeX,2026-06-21,All,All,1-9,1,0,0.0,,
DKeX,2026-06-21,All,All,10-99,2,0,0.0,,
DKeX,2026-06-21,All,All,100-999,3,0,0.0,,
DKeX,2026-06-21,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-21,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-21,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-21,All,All,100k+,7,0,0.0,,
DKeX,2026-06-22,All,All,1-9,1,0,0.0,,
DKeX,2026-06-22,All,All,10-99,2,0,0.0,,
DKeX,2026-06-22,All,All,100-999,3,0,0.0,,
DKeX,2026-06-22,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-22,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-22,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-22,All,All,100k+,7,0,0.0,,
DKeX,2026-06-23,All,All,1-9,1,0,0.0,,
DKeX,2026-06-23,All,All,10-99,2,0,0.0,,
DKeX,2026-06-23,All,All,100-999,3,0,0.0,,
DKeX,2026-06-23,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-23,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-23,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-23,All,All,100k+,7,0,0.0,,
DKeX,2026-06-24,All,All,1-9,1,0,0.0,,
DKeX,2026-06-24,All,All,10-99,2,0,0.0,,
DKeX,2026-06-24,All,All,100-999,3,0,0.0,,
DKeX,2026-06-24,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-24,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-24,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-24,All,All,100k+,7,0,0.0,,
DKeX,2026-06-25,All,All,1-9,1,22,31.0,3.0,1.409091
DKeX,2026-06-25,All,All,10-99,2,0,0.0,,
DKeX,2026-06-25,All,All,100-999,3,1,350.0,350.0,350.0
DKeX,2026-06-25,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-25,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-25,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-25,All,All,100k+,7,0,0.0,,
DKeX,2026-06-26,All,All,1-9,1,36,174.0,9.0,4.833333
DKeX,2026-06-26,All,All,10-99,2,14,593.0,94.0,42.357143
DKeX,2026-06-26,All,All,100-999,3,2,221.0,121.0,110.5
DKeX,2026-06-26,All,All,1k-9k,4,0,0.0,,
DKeX,2026-06-26,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-26,All,All,50k-99k,6,0,0.0,,
DKeX,2026-06-26,All,All,100k+,7,0,0.0,,
DKeX,2026-06-27,All,All,1-9,1,8,45.0,9.0,5.625
DKeX,2026-06-27,All,All,10-99,2,30,1087.0,75.0,36.233333
DKeX,2026-06-27,All,All,100-999,3,6,1258.0,338.0,209.666667
DKeX,2026-06-27,All,All,1k-9k,4,1,1193.0,1193.0,1193.0
DKeX,2026-06-27,All,All,10k-49k,5,0,0.0,,
DKeX,2026-06-27,All,All,50k-99k,6,0,0.0,,
