market_key,market_name,kalshi_category,contracts,fees_total,n_outcomes,winner,winner_ticker,report_ticker,is_sports,top_outcome,i.market_name,i.fees_total,i.winner,i.winner_ticker
KXNFLGAME-25SEP07SFSEA,KXNFLGAME-25SEP07SFSEA,Sports,18335601,292671.119999993,2,"",KXNFLGAME-25SEP07SFSEA-SF,KXNFLGAME,TRUE,KXNFLGAME-25SEP07SFSEA-SF,KXNFLGAME-25SEP07SFSEA,292671.119999993,"",KXNFLGAME-25SEP07SFSEA-SF
KXNCAAFGAME-25SEP27BYUCOLO,KXNCAAFGAME-25SEP27BYUCOLO,Sports,18333386,277163.629999996,2,"",KXNCAAFGAME-25SEP27BYUCOLO-BYU,KXNCAAFGAME,TRUE,KXNCAAFGAME-25SEP27BYUCOLO-BYU,KXNCAAFGAME-25SEP27BYUCOLO,277163.629999996,"",KXNCAAFGAME-25SEP27BYUCOLO-BYU
KXNBASERIES-25NYKBOS,KXNBASERIES-25NYKBOS,Sports,18270828,211947.330000002,2,"",KXNBASERIES-25NYKBOS-NYK,KXNBASERIES,TRUE,KXNBASERIES-25NYKBOS-NYK,KXNBASERIES-25NYKBOS,211947.330000002,"",KXNBASERIES-25NYKBOS-NYK
KXNFLGAME-25NOV09JACHOU,KXNFLGAME-25NOV09JACHOU,Sports,18263724,207215.770000002,2,"",KXNFLGAME-25NOV09JACHOU-HOU,KXNFLGAME,TRUE,KXNFLGAME-25NOV09JACHOU-HOU,KXNFLGAME-25NOV09JACHOU,207215.770000002,"",KXNFLGAME-25NOV09JACHOU-HOU
KXNFLGAME-25DEC14GBDEN,KXNFLGAME-25DEC14GBDEN,Sports,18251650,241458.700000002,2,"",KXNFLGAME-25DEC14GBDEN-DEN,KXNFLGAME,TRUE,KXNFLGAME-25DEC14GBDEN-DEN,KXNFLGAME-25DEC14GBDEN,241458.700000002,"",KXNFLGAME-25DEC14GBDEN-DEN
KXNBAGAME-26MAR29GSWDEN,KXNBAGAME-26MAR29GSWDEN,Sports,18194333,239238.819999999,2,"",KXNBAGAME-26MAR29GSWDEN-DEN,KXNBAGAME,TRUE,KXNBAGAME-26MAR29GSWDEN-GSW,KXNBAGAME-26MAR29GSWDEN,239238.819999999,"",KXNBAGAME-26MAR29GSWDEN-DEN
KXNBAGAME-26FEB05PHILAL,KXNBAGAME-26FEB05PHILAL,Sports,17973973,242547.469999996,2,"",KXNBAGAME-26FEB05PHILAL-LAL,KXNBAGAME,TRUE,KXNBAGAME-26FEB05PHILAL-LAL,KXNBAGAME-26FEB05PHILAL,193860.23,"",KXNBAGAME-26FEB05PHILAL-LAL
KXNCAAMBGAME-26MAR22UKISU,KXNCAAMBGAME-26MAR22UKISU,Sports,17964503,301868.529999998,2,"The following market refers to the team who wins the Kentucky at Iowa St. men's college basketball game originally scheduled for Mar 22, 2026. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two weeks). If the cancelled game is not played or is rescheduled further than two weeks out, the market will resolve to a fair price for each team in accordance with the rules. Kalshi is not affiliated,  associated,  authorized, endorsed by, or in any way officially connected with the NCAA. All trademarks, logos, and brand names are the property of their respective owners.",KXNCAAMBGAME-26MAR22UKISU-ISU,KXNCAAMBGAME,TRUE,KXNCAAMBGAME-26MAR22UKISU-ISU,KXNCAAMBGAME-26MAR22UKISU,301868.529999998,"The following market refers to the team who wins the Kentucky at Iowa St. men's college basketball game originally scheduled for Mar 22, 2026. If this game is postponed or delayed, the market will remain open and close after the rescheduled game has finished (within two weeks). If the cancelled game is not played or is rescheduled further than two weeks out, the market will resolve to a fair price for each team in accordance with the rules. Kalshi is not affiliated,  associated,  authorized, endorsed by, or in any way officially connected with the NCAA. All trademarks, logos, and brand names are the property of their respective owners.",KXNCAAMBGAME-26MAR22UKISU-ISU
KXNCAAFGAME-25OCT24CALVT,KXNCAAFGAME-25OCT24CALVT,Sports,17947997,252971.719999992,2,"",KXNCAAFGAME-25OCT24CALVT-VT,KXNCAAFGAME,TRUE,KXNCAAFGAME-25OCT24CALVT-CAL,KXNCAAFGAME-25OCT24CALVT,252971.719999992,"",KXNCAAFGAME-25OCT24CALVT-VT
KXGOVSHUTLENGTH-26FEB28,KXGOVSHUTLENGTH-26FEB28,Politics,17927841,197043.630000008,1,days:: Past 10AM ET 2/3,KXGOVSHUTLENGTH-26FEB28-3D,KXGOVSHUTLENGTH,FALSE,KXGOVSHUTLENGTH-26FEB28-4D,KXGOVSHUTLENGTH-26FEB28,197043.630000008,days:: Past 10AM ET 2/3,KXGOVSHUTLENGTH-26FEB28-3D
