report_ticker,is_sports,days_active,trades,contracts,yes_side_notional_volume,fees
KXFENT,FALSE,7,43,8873,963.59,58.49
KXBETBNA,FALSE,9,248,8872,2788.28,74.8
KXLEADERMEETPOPE,FALSE,80,282,8872,4337.42,104.99
GLBTEMP,FALSE,5,33,8870,1250.55,75.17
EVICT,FALSE,20,80,8867,748.52,42.26
KXEWCDOTA2,TRUE,11,272,8855,2017.05,79.71
BAFTAACTR,FALSE,8,55,8853,4224.88,89.67
CARBONTAX,FALSE,28,175,8839,580.79,37.35
MCSTELLARBLADE,FALSE,14,51,8830,5070.2,110.58
KXELONSPACE,FALSE,55,117,8828,272.49,18.94
ARTICICE,FALSE,39,229,8814,1670.35,90.65
KXBEZELP,FALSE,44,185,8813,2789.96,107.4
KXSNAPELECTIONJPN,FALSE,21,90,8805,5768.24,67.12
KXLEADPOLL,FALSE,19,130,8797,2637.53,63.43
KXLEASTSTREAMEDMBF,FALSE,11,82,8796,2829.96,98.79
KXCONCEALEDRECIPROCITY,FALSE,67,184,8758,1114.08,66.94
KXAPCALLVAAG,FALSE,5,168,8749,4086.62,81.48
KXVMABNA,FALSE,18,155,8720,2317.96,56.95
KXMOSTSTREAMEDHAB,FALSE,7,96,8719,1365.75,39.32
KXALPHAARENALEV,TRUE,8,83,8709,4636.23,124.01
KXMINASGOV,FALSE,24,157,8707,2840.31,111.78
KXUSAMBGREECE,FALSE,45,142,8698,3448.55,95.38
KXLBJRETIRE,FALSE,1,112,8695,1269.93,76.03
KXCEOTWITCH,FALSE,86,320,8693,1088.46,66.04
KXPROTOCOLSTATEDEPT,FALSE,10,93,8691,6622.51,73.33
KXDIVTAX,FALSE,70,135,8689,1539.91,82.34
KXMACRONOWENS,FALSE,43,157,8688,946.79,55.99
KXBBMARTIST,FALSE,2,114,8671,3284.73,81.64
KXGRAMBEAC,FALSE,8,59,8659,1244.74,37.15
KXMIRANCOUNT,FALSE,12,88,8656,3212.44,112.58
KXALPHAARENAMONK,TRUE,6,53,8648,3501.65,135.71
EURUSD-22AUG12,FALSE,1,266,8646,1723.98,67.97
KXMIFEPRISTONEMAIL,FALSE,13,99,8643,1011.35,58.13
KXSPOTIFYSONGSWKNDOECHIIREMIX,FALSE,5,55,8625,3331.3,96.43
KXNEXTNBACOACH,FALSE,1,69,8606,2895.18,15.98
KXBARIWEISSOUT,FALSE,53,243,8602,564.17,36.37
KXNATLEMERGENCYHOUSING,FALSE,56,203,8597,2164.85,96.42
KXEMMYRCPROGRAM,FALSE,22,113,8586,3814.72,45.62
KXAWARDSCOUNTSTU,FALSE,24,225,8565,1629.89,37.14
KXAGNOMMIR,FALSE,19,110,8565,3491.51,112.81
KXPRESGHANA,FALSE,5,82,8561,4500.38,49.4
KXUSAMBSWEDEN,FALSE,45,148,8548,4521.53,77.61
KXEARNINGSMENTIONLULU,FALSE,9,303,8543,5671.11,89.29
